Date,Strike,Expiry,OptionType,OI,Volume,SettlementPrice,Spot,VIX,DTE,Moneyness,ExpiryRank
2024-01-01,21350.0,2024-01-18,PE,5200,81,96.9,21741.900390625,14.579999923706056,17,0.9819748787555854,3.0
2024-01-01,21750.0,2024-01-18,CE,10550,1059,330.65,21741.900390625,14.579999923706056,17,1.0003725345636527,3.0
2024-01-01,21200.0,2024-01-18,CE,1350,3,649.95,21741.900390625,14.579999923706056,17,0.9750757578275603,3.0
2024-01-01,21200.0,2024-01-11,CE,39200,1375,694.2,21741.900390625,14.579999923706056,10,0.9750757578275603,2.0
2024-01-01,21850.0,2024-01-11,CE,132550,14322,182.85,21741.900390625,14.579999923706056,10,1.0049719485156694,2.0
2024-01-01,21550.0,2024-01-11,PE,72600,9272,92.5,21741.900390625,14.579999923706056,10,0.991173706659619,2.0
2024-01-01,21550.0,2024-01-04,PE,1967850,820243,31.2,21741.900390625,14.579999923706056,3,0.991173706659619,1.0
2024-01-01,20700.0,2024-01-18,CE,0,0,1112.1,21741.900390625,14.579999923706056,17,0.9520786880674763,3.0
2024-01-01,22250.0,2024-01-11,PE,6900,113,473.95,21741.900390625,14.579999923706056,10,1.0233696043237366,2.0
2024-01-01,22250.0,2024-01-18,CE,5550,201,95.85,21741.900390625,14.579999923706056,17,1.0233696043237366,3.0
2024-01-01,21250.0,2024-01-04,PE,1091050,249693,7.95,21741.900390625,14.579999923706056,3,0.9773754648035686,1.0
2024-01-01,21300.0,2024-01-25,PE,1031150,22411,116.85,21741.900390625,14.579999923706056,24,0.9796751717795771,4.0
2024-01-01,20800.0,2024-01-18,CE,0,0,1015.5,21741.900390625,14.579999923706056,17,0.9566781020194931,3.0
2024-01-01,20800.0,2024-01-11,CE,9950,10,1077.15,21741.900390625,14.579999923706056,10,0.9566781020194931,2.0
2024-01-01,20800.0,2024-01-04,CE,48800,191,999.85,21741.900390625,14.579999923706056,3,0.9566781020194931,1.0
2024-01-01,21700.0,2024-01-11,PE,689150,72237,140.35,21741.900390625,14.579999923706056,10,0.9980728275876443,2.0
2024-01-01,21700.0,2024-01-18,CE,61050,3206,343.95,21741.900390625,14.579999923706056,17,0.9980728275876443,3.0
2024-01-01,22800.0,2024-01-18,CE,28500,1289,22.65,21741.900390625,14.579999923706056,17,1.048666381059829,3.0
2024-01-01,22550.0,2024-01-25,CE,48600,2425,76.8,21741.900390625,14.579999923706056,24,1.0371678461797869,4.0
2024-01-01,22800.0,2024-01-04,CE,2110750,183903,1.5,21741.900390625,14.579999923706056,3,1.048666381059829,1.0
2024-01-01,21700.0,2024-01-18,PE,87700,4660,191.7,21741.900390625,14.579999923706056,17,0.9980728275876443,3.0
2024-01-01,21300.0,2024-01-04,CE,297550,7722,490.8,21741.900390625,14.579999923706056,3,0.9796751717795771,1.0
2024-01-01,22350.0,2024-01-18,CE,7750,254,80.9,21741.900390625,14.579999923706056,17,1.0279690182757533,3.0
2024-01-01,22550.0,2024-01-11,CE,85850,9963,11.75,21741.900390625,14.579999923706056,10,1.0371678461797869,2.0
2024-01-01,21500.0,2024-01-18,CE,18050,739,492.75,21741.900390625,14.579999923706056,17,0.9888739996836107,3.0
2024-01-01,21500.0,2024-01-18,PE,108400,5821,131.2,21741.900390625,14.579999923706056,17,0.9888739996836107,3.0
2024-01-01,22400.0,2024-01-11,PE,2050,49,511.95,21741.900390625,14.579999923706056,10,1.0302687252517617,2.0
2024-01-01,22350.0,2024-01-04,CE,2113950,572730,3.95,21741.900390625,14.579999923706056,3,1.0279690182757533,1.0
2024-01-01,21950.0,2024-01-04,CE,2049750,1073946,51.0,21741.900390625,14.579999923706056,3,1.0095713624676863,1.0
2024-01-01,21950.0,2024-01-11,CE,85250,12662,140.2,21741.900390625,14.579999923706056,10,1.0095713624676863,2.0
2024-01-01,21950.0,2024-01-18,PE,3100,2,307.3,21741.900390625,14.579999923706056,17,1.0095713624676863,3.0
2024-01-01,21950.0,2024-01-25,PE,47250,1465,331.65,21741.900390625,14.579999923706056,24,1.0095713624676863,4.0
2024-01-01,22400.0,2024-01-18,PE,0,0,636.1,21741.900390625,14.579999923706056,17,1.0302687252517617,3.0
2024-01-01,22800.0,2024-01-25,PE,13100,40,915.9,21741.900390625,14.579999923706056,24,1.048666381059829,4.0
